标题,标题链接,地区,省/城市,地级城市,工作经验,工作经验_float,学历,学历_int,公司名称,公司性质,公司规模,行业领域_第一段,国民经济行业分类,薪资,薪资下区间,薪资上区间,薪资单位,职能中类,职能大类,发布时间,年份,采集时的时间,职位信息,分词
信息技术总部下属量化创新支持部经理(J10052),https://jobs.51job.com/kunshan/152949372.html,,,,,,,,申银万国期货有限公司,国企,500-1000人,金融/投资/证券,金融业,2-3万,20,30,千/月,证券,金融,04-29发布,2024,2024/5/2 17:24,工作职责：1、负责跟踪量化技术前沿动态，根据行业先进量化IT系统最新进展引导公司量化IT建设；2、负责量化客户技术需求对接沟通，提供量化客户基础设施、软件系统及定制化服务等针对性技术解决方案；3、负责公司极速交易系统的建设，协同业务部门极速系统等各类量化技术类需求的落地、实施和优化；4、负责高频量化客户技术问题解决及量化技术培训、路演推广与服务支持；5、负责为业务部门提供量化技术咨询服务和培训，协同业务部门开发量化客户；6、完成公司及部门交办的其他工作。任职资格：1、本科及以上学历，计算机相关专业；2、具有项目管理、软件架构、高性能编程和极速优化等方面的专业知识及经验；3、具有3年及以上金融技术领域相关工作经验；4、具有较强的报告行文、语言和逻辑表达能力，有良好的抗压性；5、具有期货从业资格优先考虑。,"；,部门,落地,沟通,专业,技术,报告,支持,交易系统,各类,相关,先进,系统,技术类,路演,客户,为,引导,领域,定制,2,考虑,基础设施,动态,实施,表达能力,公司,推广,的,6,工作,技术培训,金融,解决方案,期货,对接,年,，,需求,软件架构,优化,针对性,。,等,具有,语言,经验,专业知识,5,编程,以上,高性能,根据,任职,优先,3,及,4,前沿,IT,和,与,其他,软件系统,资格,极速,协同,服务,跟踪,负责,：,有,建设,问题,行业,行文,较强,项目管理,最新进展,完成,咨询服务,交办,培训,抗压性,业务部门,职责,量化,提供,、,开发,以上学历,高频,从业,化,解决,良好,1,本科,计算机相关,方面,逻辑"
量化投资主管,https://jobs.51job.com/kunshan/149961235.html,上海-浦东新区,上海,上海,2年,2,硕士,6,上海摩高投资有限公司,民营,少于50人,金融/投资/证券,金融业,1.5-3万·13薪,15,30,千/月,证券,金融,04-29发布,2024,2024/5/2 17:24,岗位职责：1.通过机器学习或神经网络研发量化交易策略，进行策略模型的设计和开发，满足程序化交易的需求；2.运用Python将投资思路实现为策略模型，负责回测优化维护；3.对实盘策略模型进行综合分析，定期撰写投资报告，根据投资收益有相应的提成。任职要求：1.硕士及以上学历，主修金融工程、数学、传统工程、计算机、统计等相关专业；2.扎实的数理基础和编程能力，熟练运用Python或其它量化常用编程语言；3.优秀的沟通能力，工作细致认真负责；4.具备良好的职业道德和专业素质，无违法违规记录。,"对,Python,思路,任职,良好,素质,和,工程,及,主修,或,策略,，,以上学历,有,综合,运用,认真负责,提成,、,回测,的,；,无,编程语言,具备,职业道德,1,优化,相应,相关,.,硕士,3,投资收益,学习,计算机,报告,实盘,4,：,能力,神经网络,违规,通过,将,负责,编程,撰写,常用,进行,满足,。,工作,其它,岗位职责,数理,细致,记录,根据,熟练,定期,开发,投资,违法,沟通,传统,优秀,交易,实现,维护,2,分析,基础,金融,扎实,等,为,量化,专业,统计,设计,机器,需求,要求,数学,研发,程序化,模型"
量化策略研究员,https://jobs.51job.com/kunshan/153387457.html,上海-浦东新区,上海,上海,无需经验,0,硕士,6,东海期货有限责任公司,国企,150-500人,金融/投资/证券,金融业,15-20万/年,12.5,16.66666667,千/月,证券,金融,04-29发布,2024,2024/5/2 17:24,工作职责：1、对期货市场数据进行挖掘、处理和分析，量化基本面模型。2、跟踪和分析投资策略的实盘表现，优化和改进投资策略，帮助品种研究员完善策略研究。3、研究与开发量化模型策略，包括但不限于中低频、高频、日内、套利、期权、组合优化等。任职要求：1、985或海外一流高校、硕士及以上学历，数学、金融工程、统计、物理、计算机等相关专业优先；2、具备数学建模经验，熟练掌握C++、Python至少一种语言；3、扎实的数理统计能力、严谨的研究习惯;4、有期权相关研究经验优先。,"相关,期货市场,专业,研究员,期权,任职,进行,限于,海外,帮助,习惯,套利,Python,品种,工作,数学,策略,投资,研究,C++,挖掘,与,建模,量化,职责,或,能力,完善,计算机,统计,处理,表现,硕士,语言,3,跟踪,具备,基本面,物理,实盘,包括,分析,熟练掌握,严谨,；,经验,优先,985,模型,要求,改进,、,的,中,扎实,以上学历,。,组合,有,数据,及,一种,;,至少,高频,对,高校,：,低频,和,，,2,工程,1,数理统计,不,日内,开发,但,金融,4,优化,等,一流"
中证资本-场外业务部-场外量化岗G01031,https://jobs.51job.com/kunshan/145565439.html,,,,2年,2,硕士,6,中信期货有限公司,国企,1000-5000人,金融/投资/证券,金融业,1.3-2.5万,13,25,千/月,后端开发,互联网技术,04-22发布,2024,2024/4/27 13:18,"岗位职责：	1、模型开发：a) 衍生品定价与市场参数模型的开发与迭代；b) 高质量的代码实现，搭建量化模型代码库。2、量化分析：a) 衍生品结构的交易特性与行为研究分析；b) 分析投资组合的风险特性，配合交易员进行产品设计，优化风险结构；c) 市场数据的量化分析，开发和完善分析工具。3、领导交办的其他职责。岗位要求：	1、金融工程、数学、物理等相关专业硕士研究生及以上学历；2、精通各类期权定价模型及理论，熟练掌握PDE、Monte Carlo等期权定价数值方法，具备过硬的文献研究能力，能够独立完成复杂期奇异期权的定价模型开发；3、熟悉C++开发，同时熟悉java，Python中一种以上语言；4、逻辑严谨、思维灵活、拥有较强的执行能力和多任务处理能力；具有良好的职业道德和风险意识，具有团队合作精神和工作责任心；5、2年以上相关行业经验。","a,工作,数值,复杂,2,Monte,迭代,职责,组合,中,C++,和,5,b,等,熟练掌握,定价,；,领导,理论,库,奇异,熟悉,Python,灵活,，,期权,文献,工具,逻辑,经验,一种,行业,实现,参数,开发,投资,	,其他,团队,交易员,Carlo,各类,精通,较强,物理,PDE, ,专业,模型,java,产品设计,代码,以上,特性,具有,风险意识,的,严谨,研究生,研究,高质量,风险,拥有,市场,行为,结构,责任心,岗位职责,4,数据,交办,思维,完善,、,能够,进行,职业道德,执行,相关,要求,以上学历,合作,量化,1,独立,3,语言,年,分析,岗位,衍生品,c,过硬,良好,配合,金融,搭建,数学,具备,同时,。,精神,期,),能力,方法,多任务处理,硕士,工程,：,交易,与,优化,及,完成"
证券投资部-量化投资经理,https://jobs.51job.com/kunshan/153631251.html,,,,3年,3,硕士,6,联储证券股份有限公司,民营,1000-5000人,金融/投资/证券,金融业,2-4万,20,40,千/月,投融资,金融,04-15发布,2024,2024/4/19 22:13,岗位职责:1、负责管理量化投资组合，在风险约束下完成考核收益目标；2、负责带领团队完成量化策略体系的建立和完善，实现量化投资策略框架的设计、策略开发和模型构建，建立和维护策略库和因子库，并对量化策略及模型进行优化；3、跟踪国内外市场动态，发掘和布局新的量化投资业务或衍生品业务方向；4、完成领导交办的其他工作。任职要求:1、金融、经济、投资、数量等专业硕士研究生及以上学历；2、专业基础扎实，熟悉国内量化和衍生品市场，具有量化投资策略研究或相关学术研究经验，具备成熟的投研体系和投资策略，具有3年以上量化投资经验；3、熟练掌握一门及以上计算机编程语言，具备优秀的编程能力和数据分析能力，熟悉机器学习算法和模型者优先。,"工作,新,收益,2,构建,布局,经济,组合,和,等,并,熟练掌握,；,领导,熟悉,库,下,负责管理,对,者,，,在,约束,目标,成熟,方向,经验,市场动态,实现,业务,开发,计算机,投资,发掘,其他,团队,带领,投研,算法,优先,设计,建立,因子,或,专业,机器,体系,模型,考核,学术研究,任职,扎实,框架,以上,具有,的,维护,研究生,研究,风险,市场,优秀,岗位职责,4,交办,策略,完善,、,进行,相关,要求,数据分析,以上学历,量化,1,3,:,年,负责,编程语言,数量,跟踪,衍生品,一门,金融,学习,编程,具备,国内外,。,基础,能力,硕士,国内,及,优化,完成"
金融量化研究员,https://jobs.51job.com/kunshan/154173170.html,重庆,重庆,重庆,无需经验,0,本科,5,新疆安恒德泰投资管理有限公司,民营,少于50人,金融/投资/证券,金融业,5千-1万,5,10,千/月,金融,金融,04-22发布,2024,2024/4/19 8:48,"职位描述1、量化因子/模型开发：因子挖掘/有效性研究，利用统计模型、机器学习等方法对多因子进行整合,投资组合优化和归因分析；2、辅助开发、评估、优化量化交易系统；3、参与量化策略投资管理工作。任职要求：1、学历要求：研究生及以上学历，有相关工作经验或能力特别优秀者可放宽至本科；2、专业要求：金融工程、数学、统计、计算机、信息工程等理工相关专业；3、具有能独立完成研究子课题的编程能力，至少熟悉一门编程语言。4、热爱量化投资研究，具有良好的学习能力和逻辑思维能力，具有良好的团队合作精神和沟通能力，有志于长期从事基金领域量化投资工作。薪资待遇：基本工资+绩效奖金员工福利：五险一金、绩效奖金、节日福利、双休+法定节假日、不定期员工培训、父母慰问津贴等","一金,编程,辅助,。,编程语言,2,优化,工程,慰问,领域,待遇,津贴,学历,热爱,工作,多因子,特别,统计,或,、,因子,独立,逻辑思维,良好,进行,员工,/,，,信息工程,量化,放宽,以上学历,方法,对,完成,+,任职,子课题,研究生,至,相关,五险,可,双休,和,评估,经验,父母,培训,分析,优秀者,3,至少,挖掘,及,学习,数学,员工福利,组合,职位,节假日,4,节日,福利,长期,不定期,基本工资,具有,合作,专业,策略,投资,法定,从事,开发,理工,本科,参与,能,1,沟通,精神,：,利用,一门,,,团队,能力,归因,有,描述,机器,金融,绩效奖金,；,管理工作,研究,模型,计算机,有效性,等,交易系统,薪资,有志于,整合,的,要求,熟悉,基金"
量化研究员,https://jobs.51job.com/kunshan/154077717.html,上海,上海,上海,3年及以上,3,硕士,6,上海中期期货股份有限公司,国企,150-500人,金融/投资/证券,金融业,1-2万,10,20,千/月,期货,金融,04-08发布,2024,2024/4/11 17:18,岗位职责：1.清洗整理投资相关数据；2.根据指导开发和完善私募基金和公募基金的评价模型、资产配置模型、风险模型；3.开发投资相关的量化工具。任职要求：1.年龄35岁以下，硕士研究生及以上学历，金融工程或者理工类专业；2.具备良好的统计学基础，对资产定价理论有一定了解；3.熟练掌握Python编程语言以及常用的计算库的使用；4.热爱投资研究。5.具有期货从业资格。,"私募,对,工具,。,年龄,Python,理论,编程语言,4,计算,以下,硕士,任职,2,完善,量化,35,研究生,相关,工程,定价,期货,一定,具有,有,基础,整理,.,理工类,专业,金融,热爱,投资,和,评价,岁,使用,开发,；,、,资格,根据,以及,研究,模型,公募,了解,或者,熟练掌握,岗位职责,清洗,良好,常用,3,具备,从业,库,1,及,风险,数据,的,配置,要求,，,统计学,5,基金,：,资产,以上学历,指导"
量化策略分析,https://jobs.51job.com/kunshan/154093796.html,广州,广州,广州,无需经验,0,本科,5,广州银泰控股有限责任公司,民营,150-500人,互联网/电子商务,信息传输、软件和信息技术服务业,1-2万,10,20,千/月,证券,金融,04-29发布,2024,2024/5/2 17:24,【岗位职责】1、 构思、设计和实施量化交易系统，产品限于国内二级市场2、 综合多种算法和策略，构建多策略交易体系3、 追踪相关算法类国际研究进展，综合应用各种算法，如机器学习、深度学习以及最新涌现的相关技术和思想4.参与技术收益分成【任职要求】1、 全日制本科及以上学历，数学、物理、金融、统计、计算机等相关专业，具有量化策略分析工作或实习经验者优先；留学生优先2、 有完整的量化交易系统设计、开发经验、在技术和算法上追求极致，单兵作战能力强；3、 熟悉多因子量化、资金流向分析和择时交易策略，模型实盘运行效果良好，具体产品不限；4、拥有良好的数据统计分析基础，熟练拿握Python等主流数据分析语言；5、金融工程，互联网专业优先。【薪资待遇】1、提供高薪酬和优厚福利，公司交五险一金；2、上班时间：9:30-17:00（周末双休），国家法定节假日；3、公司为员工提供广阔的发展空间；4、强而有效的培训体系，助您不断提高自身价值。,"一金,不,。,【,2,空间,在,工程,不断,待遇,产品,多,极致,流向,限,限于,工作,国家,具体,强,技术,多因子,和择,研究进展,统计,或,、,类,物理,以及,上班时间,岗位职责,良好,提供,）,收益,语言,员工,，,涌现,量化,实习,以上学历,为,】,任职,体系,相关,互联网,者,交五险,（,基础,完整,双休,和,熟练,经验,周末,优先,培训,分析,主流,效果,国内,最新,3,及,学习,数学,数据,助您,有效,自身,5,构思,节假日,-,薪酬,4,Python,福利,17,国际,具有,多种,上,.,专业,强而,策略,分成,价值,法定,资金,单兵作战,综合,实盘,开发,运行,公司,:,30,高,本科,全日制,追求,统计分析,9,如,参与,1,构建,交易,广阔,：,00,时,各种,数据分析,应用, ,深度,能力,提高,留学生,拥有,拿握,有,机器,金融,追踪,实施,设计,算法,；,模型,计算机,二级,优厚,市场,思想,发展,等,交易系统,薪资,的,要求,熟悉"
量化研究实习生,https://jobs.51job.com/kunshan/150451567.html,上海-浦东新区,上海,上海,在校生/应届生,0,本科,5,东吴在线（上海）金融信息服务有限公司,已上市,50-150人,金融/投资/证券,金融业,200元/天,4.166,4.166,千/月,证券,金融,05-13发布,2024,2024/5/13 12:41,岗位职责：1.负责量化交易数据分析和建模；2.量化交易策略的研发、构建、测试、优化以及风险管理等。任职要求：1.统招本科及以上计算机、数学、统计学、金融工程等相关专业；2.具备良好的数据处理、统计建模、机器学习等方面的知识储备；3.熟练使用 Python和C++语言；4.有过往量化实习经验优先，特别优秀的研究生可放宽；5.长期实习有留用机会。（本岗位为校招职位，2024届优先）,"数据处理,C++,。,本,以上,2,优化,工程,特别,统计,建模,、,过往,以及,岗位职责,良好,具备,）,语言,，,统计学,量化,放宽,实习,任职,研究生,相关,统招,（,可,知识,和,熟练,经验,优先,测试,岗位,3,及,学习,数学,储备,5,职位,4,2024,Python,长期,负责,.,专业,策略,使用,留用,本科,为校,方面,1,构建,交易,：,风险管理,研发,数据分析, ,有,金融,机器,机会,；,招,优秀,计算机,等,届,的,要求"
股票量化交易员,https://jobs.51job.com/kunshan/133522919.html,上海-浦东新区,上海,上海,3-4年,3.5,本科,5,仁中（上海）股权投资基金管理有限公司,民营,少于50人,金融/投资/证券,金融业,1.5-2万,15,20,千/月,证券,金融,04-29发布,2024,2024/5/2 17:24,岗位职责：1、负责股票量化高频策略实现和实盘交易；2、搭建及完善量化高频交易基础设施，包括高频数据库、自动化，回测系统等；3、定期分析交易执行表现，持续研究改进量化交易策略。任职要求：1、国内知名院校硕士及以上学位，数学，物理，计算机，金融工程等相关专业；2、3年以上的程序化T0 、股票或期货高频实盘业绩，对量化建模和阿尔法策略、量化对冲、套利等投资管理和研究有独到见解，量化投资经验丰富；3、出色的编程能力，熟练使用C++及Python等语言；4、思维清晰，逻辑性强，对工作充满热情，并有良好的沟通能力和团队协作精神。,"C++,编程,。,T0,硕士,以上,2,完善,工程,逻辑性,实现,业绩,知名,工作,强,或,、,物理,建模,自动化,清晰,套利,岗位职责,良好,基础设施,语言,，,经验丰富,量化,独到见解,持续,对,任职,相关,协作,充满热情,和,熟练,回,改进,分析,出色,阿尔法,定期,国内,年,3,及,数学,搭建,测系统,4,Python,学位,负责,专业,策略,股票,投资,使用,实盘,管理,程序化,1,交易,思维,沟通,精神,：,表现,团队, ,并,能力,期货,有,包括,金融,对冲,；,数据库,研究,执行,院校,计算机,高频,等,的,要求"
量化研究员,https://jobs.51job.com/kunshan/152226104.html,,,,,,,,南京博信医药技术开发有限公司,民营,少于50人,医疗/护理/卫生,卫生和社会工作,8千-1.2万,8,12,千/月,证券,金融,04-29发布,2024,2024/5/2 17:24,1.开展量化交易相关算法研究及系统研发。2.开发和优化量化策略，包括但不限于股票、期货、基金等金融市场的量化策略开发。3. 根据业务需求，研究市场趋势和规律，制定并执行量化策略。4. 负责策略的代码实现和调试，确保策略的运行效率。5. 参与与量化风险管理团队的合作，确保策略的安全性。任职要求职位要求：1. 数学、统计、金融、计算机等相关专业优先考虑。2. 3年以上量化策略开发经验，有成功的量化策略开发项目经验。3. 对量化交易、二级市场有浓厚兴趣，熟悉各类金融产品的交易策略和风险控制。4. 熟悉量化策略的开发流程，熟练使用相关编程语言，如python、C++等。5. 熟练使用量化及金融指标计算框架 backtrader、zipline、pyfolio、talib等。6. 具备良好的沟通能力和团队合作精神，能够与其他部门的同事合作。,"优先,项目,6,各类,调试,能力,规律,指标,及,使用,pyfolio,，,基金,任职,实现,但,交易,根据,。,经验,代码,等,backtrader,编程语言,统计,相关,金融市场,市场趋势,同事,3,开发,沟通,成功,开展,zipline,1,股票,策略,框架,流程,要求,运行,如,系统,研发,考虑,的,：,效率,4,以上,二级,C++,参与,产品,具备,制定,需求,算法,熟悉,执行,其他,确保,金融,5,talib,业务,并,期货,专业,计算,研究,量化,.,部门,负责,合作,精神,年,与,包括,风险管理,职位,限于,团队,能够, ,市场,对,熟练,有,安全性,优化,、,计算机,浓厚兴趣,良好,控制,数学,风险,和,python,2,不"
量化实习生,https://jobs.51job.com/kunshan/138018321.html,,,,,,,,上海澎博财经资讯有限公司,民营,150-500人,计算机软件,信息传输、软件和信息技术服务业,200元/天,4.166,4.166,千/月,证券,金融,04-29发布,2024,2024/5/2 17:24,"岗位职责：1、根据业务场景和需求，使用机器学习／深度学习技术设计实现各种类型的模型建设，包括分类、回归、聚类、推荐等，解决实际业务问题；2、熟悉模型后评价方法和体系，对模型效果进行监控，根据监控结果对模型进行优化迭代，尝试新的数据、算法和技术，提升模型的准确性和效果；3、完成公司安排的其他任务；岗位要求：1、计算机、金融、数学、物理等专业,双一流院校在校/研究生或应届毕业生	2、熟悉python语言和相关第三方库的使用；3、对量化投资有浓厚的兴趣，有相关经验者优先；4、具备扎实的机器学习理论和技术基础，熟悉掌握各类常用的机器学习算法（如：LR、随机森林、xgboost等）5、能保证每周实习3天以上；6、思维清晰，逻辑性强，良好的沟通协作能力；7、能力优秀者日薪可谈，表现优秀者有转正全职编制机会；实习要求：最少实习3个月/每周至少到岗3天薪资范围:150-200元/天","推荐,算法,4,薪资,日薪,常用,,,转正,编制,监控,沟通,数据,／,使用,机器,实际,-,；,实习,专业,第三方,、,保证,和,分类,等,5,兴趣,优秀者,2,扎实,公司,岗,语言,浓厚,金融,根据,任务,月,：,后,全职,回归,量化,）,岗位,每周,6,最少,150,结果,应届,能,思维,对模型,理论,有,到,xgboost,熟悉,LR,效果,其他,1,清晰,要求,准确性,具备,各种类型,各类,解决,森林,机会,业务,毕业生,岗位职责,库,协作,物理,深度,场景,范围,可谈,数学,基础,天,尝试,优化,/,聚类,，,至少,	,以上,设计,个,问题,安排,一流,表现,包括,院校,完成,对,逻辑性,需求,实现,双,建设,方法,能力,强,评价,200,体系,提升,经验,如,迭代,（,在校,相关,随机,新,模型,或,学习,的,:,进行,7,技术,掌握,投资,计算机,3,者,优先,良好,元,研究生,python"
量化实现工程师,https://jobs.51job.com/kunshan/152655326.html,,,,,,,,东吴在线（上海）金融信息服务有限公司,已上市,50-150人,金融/投资/证券,金融业,1.5-3万,15,30,千/月,证券,金融,05-13发布,2024,2024/5/13 12:41,岗位职责：1.熟练使用C++及Python开发语言，负责实现和优化公司的量化投资策略；2.根据策略需要，进行策略量化模型的实现和维护；3.负责公司量化数据的收集、整理和更新；4.协助策略组成员进行策略研究、数据分析等工作；5.对量化策略的实施效果进行评估和反馈，并提出优化建议。任职要求：1.本科学历，计算机、金融、数学等相关专业背景，具备一定的编程基础；2. 熟悉C++编程语言，和一项其他编程语言（Python），能够在Linux系统下进行C/C++开发，调试，部署；3. 有性能优化、分布式、量化交易、常用的数据结构和设计模式相关开发经验者优先考虑。,"量化,者,其他,相关,熟悉,性能,Linux,、,数据分析,1,负责,和,研究,评估,背景,计算机,语言,：,要求,组成员,C,调试,编程,有,2,；,专业,常用,效果,对,公司,投资,收集,系统,基础,维护,部署,整理, ,一定,.,分布式,任职,的,经验,熟练,岗位职责,并,反馈,开发,编程语言,优化,Python,，,设计模式,（,数据结构,3,具备,考虑,工作,本科学历,数据,交易,数学,5,一项,及,下,实现,策略,/,协助,能够,更新,4,根据,优先,等,实施,提出,。,进行,模型,使用,C++,）,在,需要,建议,金融"
证券投资部-量化策略研究员,https://jobs.51job.com/kunshan/150414620.html,,,,,,,,联储证券股份有限公司,民营,1000-5000人,金融/投资/证券,金融业,1.5-2.5万·16薪,15,25,千/月,证券,金融,03-18发布,2024,2024/3/22 21:46,岗位职责:1、负责常见的基金归模型的研究，构建多因子选基框架；2、负责量化策略的跟踪研究、绩效评估；3、定期分析量化策略市场环境，对量化策略进行归因分析，并形成策略研究报告；任职要求:1、学历：国内外知名高校硕士研究生及以上学历，具有金融、金融工程、经济学、数学、物理、统计、计算机或其他相关专业；2、两年以上相关工作经验；3、具有较好的经济、金融学理论基础，熟悉经济学基本框架；熟悉权益市场、固定收益市场及其他另类市场的理论与分析方法；熟悉资产配置的理论，熟悉资产配置模型及相关定量、定性分析方法；4、熟悉多因子、Risk Parity、Black Litterman等权益类及资产配置类量化策略的理论与模型基础，熟练掌握C/C#/C++、MATLAB或Python等一种或多种编程语言，具备优秀的编程能力和数据分析能力。5、有量化FOF投资&研究经验的优先。,"优秀,理论,定性分析,学历,负责,:,好,要求,Parity,数学,C#,经济学,的,国内外,工作,对,基础,构建,类,、,熟悉,进行,权益,及其,Python,策略,相关,以上,形成,固定,专业,C++,量化,和,模型,。,2,定期,常见,评估,两年, ,等,以上学历,框架,任职,：,能力,高校,优先,FOF,具备,多因子,方法,研究,MATLAB,金融学,1,Litterman,知名,归因,市场,Black,并,经验,环境,多种,定量,金融,5,基金,岗位职责,有,绩效,研究生,具有,统计,他,归,编程,物理,4,分析,报告,或,熟练掌握,编程语言,另类,计算机,，,较,3,分析方法,经济,基本,其他,及,类及,/,&,选基,数据分析,C,投资,工程,Risk,跟踪,一种,；,资产,与,配置,收益,硕士"
量化交易员,https://jobs.51job.com/kunshan/151365588.html,,,,,,硕士,6,周期（大连）投资管理有限公司,民营,少于50人,金融/投资/证券,金融业,2-2.5万,20,25,千/月,证券,金融,01-01发布,2024,2024/1/3 22:23,岗位职责:1、负责量化模型的设计和研发；2、负责交易数据的分析、挖掘、处理，以及风险指标的监控；3、负责国内外量化投资和金融工程相关资料报告的实证研究；4、负责量化策略的监控、回测和归因。任职资格:1、硕士及以上学历，计算机、金融工程、金融数学、物理、统计或其他相关专业及相关证书。2、熟练掌握Python，MATLAB或C ++，熟悉SQL语言；3、具备严密的逻辑思维能力与快速的学习能力；4、具备良好的团队合作意识与抗压能力；5、具备量化研究经验背景，优先考虑。,"量化,和,快速,严密,挖掘,处理,硕士,国内外,以上学历,研发,数学,计算机, ,Python,具备,资料,物理,数据,风险,分析,抗压,指标,监控,归因,背景,专业,及,工程,交易,意识,资格,，,负责,。,金融,能力,或,优先,统计,团队,的,模型,经验,++,任职,语言,合作,SQL,证书,报告,MATLAB,岗位职责,其他,4,5,熟悉,2,；,投资,逻辑思维,策略,、,回测,考虑,研究,相关,学习,C,与,良好,设计,3,熟练掌握,以及,实证,1,:"
量化交易python开发工程师,https://jobs.51job.com/kunshan/149478697.html,,,,,,本科,5,武汉瑞得软件产业有限公司,民营,50-150人,计算机软件,信息传输、软件和信息技术服务业,6千-1万,6,10,千/月,后端开发,互联网技术,12-25发布,2023,2023/12/28 7:45,职位描述：1、能根据搭建好的策略实现交易算法，编写程序、回测验证等；2、负责程序化交易模型的编写、测试、监控、维护、优化，并根据实盘跟踪不断改进程序化交易模型；3、能快速熟悉股票等投资品种的程序化交易；4、负责各交易品种的相关交易数据的大数据收集工具；任职要求：1、计算机、数学、物理、金融工程、统计等相关专业本科及以上学历，责任心强，人品正直，心态积极，快速的反应及学习能力；2、具备丰富的数学建模能力，具有较强的数据处理能力和研究能力；3、熟练掌握Python编程语言，熟练使用pandas、NumPy库，熟练使用Python进行数据可视化；4、对程序化交易有理解，熟悉程序化交易平台的应用；5、具有程序化交易工作研究经验者优先；6、熟悉套利，有量化交易策略开发的工作经验会优先考虑；7、本岗位可考虑有志于长期从事量化交易的在校实习生（实习生薪资另议）；,"反应,工作,（,好,验证,3,交易,开发,能力,6,品种,有,库,及,正直,编写程序,2,5,和,等,薪资,本,强,并,股票,者,研究,要求,熟悉,测试,；,进行,、,具备,经验,会,考虑,数据,根据,模型,丰富,岗位,：,，,在校,责任心,金融,熟练,任职,具有,有志于,理解,回测,积极,对,维护,可,各,数据处理,跟踪,熟练掌握,实现,工具,7,套利,快速,4,以上学历,较强,的,交易平台,程序化,物理,描述,心态,相关,学习,投资,优化,实习生,监控,建模,使用,优先,数学,人品,NumPy,算法,统计,应用,计算机,Python,大,编写,长期,职位,策略,量化,专业本科,不断改进,实盘,）,能,编程语言,另议,pandas,1,工程,可视化,从事,搭建,负责,收集"
FOF量化研究员,https://jobs.51job.com/kunshan/149376295.html,,,,,,本科,5,佛山市海天调味食品股份有限公司,已上市,5000-10000人,快速消费品(食品、饮料、化妆品),,1.5-2.3万·13薪,15,23,千/月,期货,金融,02-26发布,2024,2024/2/28 15:12,岗位职责:1、参与对公募基金、私募基金的量化筛选研究和定性尽职调查，搭建多因子基金评价框架，多维度分析基金产品的风险收益特征；2、运用数量化方法对已投基金产品进行业绩跟踪、绩效归因、业绩评价、风险管理等，逐步构建自动化及系统化的投资组合分析评价体系；3、定期跟踪宏观环境、市场情绪、行业风格及各类资产与策略的表现，结合量化资产配置模型，提供投资组合优化建议。任职要求:1、本科及以上学历，数学、计算机、金融等相关专业；2、具有较强的数据分析能力，掌握Python、C++等一种或多种编程语言；3、具有基金产品或Barra风险模型研究分析相关经验者优先。,"量化,和,参与,收益,运用,以上学历,情绪,对公,已,数学,体系,计算机,配置,Python,提供,各类,自动化,风险,私募,分析,资产,者,归因,专业,及,环境,风险管理,多因子,市场,组合分析,框架,本科,，,对,。,能力,金融,调查,进行,构建,产品,或,结合,优先,的,等,模型,经验,跟踪,募,较强,任职,方法,一种,系统化,风格,岗位职责,2,；,基金,表现,编程语言,评价,具有,投资,逐步,组合,掌握,业绩,、,策略,宏观,研究,相关,定期,C++,特征,要求,建议,与,多种,数据分析,Barra,优化,3,定性,筛选,搭建,尽职,多维度,投,数量化,1,:,行业,绩效"
期货量化交易员/研究员,https://jobs.51job.com/kunshan/149332671.html,上海-浦东新区,上海,上海,2年,2,本科,5,上海期旺投资有限公司,民营,少于50人,金融/投资/证券,金融业,1.5-3万,15,30,千/月,硬件产品经理,产品,11-27发布,2023,2023/12/4 5:17,我司期货团队擅长发掘潜在的趋势品种，现寻找量化方面的人才增强收益；如果您有成熟的趋势跟踪策略，并能在交流中维护完善，欢迎联系我们；专业创造价值，让我们认知变现、合作共赢！一、投资理念：在高波动周期里，狙击强趋势品种，提高交易效率。二、岗位职责：1.策略：提供成熟的量化趋势策略，保持系统的正常运行；  2.维护：研究交流行情特征，优化运行策略；  3.跟踪：形成完整的策略运行报告，定期交流。   三、任职要求：1.本科及以上学历，金融、计算机等相关专业优先；2.两年以上量化投研相关经验，有可验证趋势策略者优先；3.熟悉python、C++等至少一门编程语言及数据库；   四、薪资待遇：  1.上不设限：底薪+提成，公司投研强化策略盈利； 2.时间灵活：不用坐班，保证系统正常运行即可；  3.合作共赢：优秀策略+合适工具=超额盈利。,"在,强化,保持,我们,可验证,投资,强,C++,上,高,及,研究,方面,里,特征,能,三,保证系统,运行,完善,波动,=,金融,成熟,计算机,收益,交易,量化,现,熟悉,超额,1,并,报告,优秀,坐班,：,公司,价值,本科,中,等,待遇,团队,经验,共赢,系统,数据库,3,2,期货,正常,python,专业,理念,者,；,岗位职责,任职,变现,效率,提成,的,不,两年,欢迎,+,形成,如果,我司,合作,周期,工具,人才,四,即可,投研,维护,、,！,擅长,交流,让,提高,提供,以上学历,相关, ,完整,二,一,趋势,，,发掘,联系,盈利,您,底薪,编程语言,品种,.,以上,时间,增强,优先,跟踪,。,要求,潜在,合适,有,薪资,至少,不用,认知,寻找,行情,定期,狙击,灵活,创造,一门,设限,策略,优化"
